H1	H2	H3	nABBA	nBABA	Dstat	jackEst	SE	Z
BosCrete08	Hs04	Min11	175715	188473	-0.03503136	-0.03503136	0.03112934	-1.125349
BosCrete09	Hs04	Min11	169511	180359	-0.0310058	-0.0310058	0.03139735	-0.9875293
PSP01	Hs04	Min11	138138	133026	0.01885206	0.01885206	0.01010579	1.865471
PSP02	Hs04	Min11	138478	132354	0.0226118	0.0226118	0.008659792	2.611125
PSP03	Hs04	Min11	141001	133910	0.0257938	0.0257938	0.01018743	2.531924
PSP07	Hs04	Min11	138516	131585	0.02566077	0.02566077	0.009492826	2.703175
PSP08	Hs04	Min11	138467	135069	0.0124225	0.0124225	0.008716257	1.42521
PSP09	Hs04	Min11	139137	132594	0.02407896	0.02407896	0.008267093	2.912627
PSP12	Hs04	Min11	141436	135900	0.01996135	0.01996135	0.009810507	2.034691
PSP15	Hs04	Min11	137437	134285	0.01160009	0.01160009	0.009518478	1.218692
PSP20	Hs04	Min11	139797	129518	0.0381672	0.0381672	0.009244953	4.128437
Hs01	Hs04	Min11	136268	132631	0.01352552	0.01352552	0.00912599	1.482089
Hs02	Hs04	Min11	138797	136345	0.008911762	0.008911762	0.01007548	0.8845
Hs03	Hs04	Min11	142804	132760	0.03644888	0.03644888	0.009864906	3.694803
Min01	Hs05	Min11	142084	202063	-0.1742831	-0.1742831	0.02058574	-8.466205
Min02	Hs05	Min11	128018	219397	-0.2630255	-0.2630255	0.01815097	-14.49099
Min03	Hs05	Min11	142720	204686	-0.1783677	-0.1783677	0.02139141	-8.338285
Min04	Hs05	Min11	145470	196029	-0.1480502	-0.1480502	0.0223019	-6.638457
Min05	Hs05	Min11	141029	205542	-0.1861466	-0.1861466	0.02167256	-8.589044
Min06	Hs05	Min11	143757	210514	-0.1884348	-0.1884348	0.02281416	-8.259555
Min07	Hs05	Min11	140160	191840	-0.1556627	-0.1556627	0.02148587	-7.244886
Min08	Hs05	Min11	142156	202122	-0.174179	-0.174179	0.02007012	-8.678525
Min09	Hs05	Min11	137993	191026	-0.1611852	-0.1611852	0.02124023	-7.588677
Min10	Hs05	Min11	151989	196302	-0.1272298	-0.1272298	0.02494714	-5.099976
BosCrete01	Hs05	Min11	172488	189914	-0.04808472	-0.04808472	0.03068736	-1.566923
BosCrete02	Hs05	Min11	169164	192073	-0.0634182	-0.0634182	0.03041248	-2.085269
BosCrete03	Hs05	Min11	169786	188773	-0.05295363	-0.05295363	0.03076984	-1.720959
BosCrete04	Hs05	Min11	171108	189366	-0.05064998	-0.05064998	0.03067864	-1.650985
BosCrete05	Hs05	Min11	169664	187490	-0.04991124	-0.04991124	0.03090534	-1.614972
BosCrete06	Hs05	Min11	171846	190092	-0.05041195	-0.05041195	0.03071819	-1.641111
BosCrete07	Hs05	Min11	171419	189000	-0.04877934	-0.04877934	0.03077113	-1.585231
BosCrete08	Hs05	Min11	170764	189854	-0.0529369	-0.0529369	0.03056286	-1.732067
BosCrete09	Hs05	Min11	164965	181666	-0.04818092	-0.04818092	0.03074142	-1.567296
PSP01	Hs05	Min11	133643	134839	-0.004454675	-0.004454675	0.009054417	-0.4919891
PSP02	Hs05	Min11	135805	135984	-0.0006585991	-0.0006585991	0.008115812	-0.08115012
PSP03	Hs05	Min11	137727	136918	0.002945621	0.002945621	0.00854547	0.3446997
PSP07	Hs05	Min11	136892	136357	0.001957921	0.001957921	0.008589663	0.2279392
PSP08	Hs05	Min11	134651	137686	-0.01114428	-0.01114428	0.008878927	-1.255138
PSP09	Hs05	Min11	136765	136710	0.0002011153	0.0002011153	0.008274217	0.02430626
PSP12	Hs05	Min11	136505	137347	-0.003074653	-0.003074653	0.008347226	-0.3683443
PSP15	Hs05	Min11	136642	139924	-0.01186697	-0.01186697	0.008743647	-1.35721
PSP20	Hs05	Min11	138456	134383	0.01492822	0.01492822	0.0082842	1.802011
Hs01	Hs05	Min11	135224	138020	-0.01023261	-0.01023261	0.009308079	-1.099326
Hs02	Hs05	Min11	136026	139917	-0.01410074	-0.01410074	0.01038826	-1.357373
Hs03	Hs05	Min11	139395	135459	0.01432033	0.01432033	0.008415867	1.701587
Hs04	Hs05	Min11	133735	140039	-0.02302629	-0.02302629	0.01058352	-2.175674
Min01	Hs06	Min11	143838	201536	-0.1670595	-0.1670595	0.02067879	-8.078782
Min02	Hs06	Min11	128451	217426	-0.2572446	-0.2572446	0.01762608	-14.59455
Min03	Hs06	Min11	142899	202498	-0.1725522	-0.1725522	0.02057939	-8.384708
Min04	Hs06	Min11	146658	194946	-0.1413567	-0.1413567	0.02316154	-6.103076
Min05	Hs06	Min11	140678	202917	-0.1811406	-0.1811406	0.02150499	-8.423189
Min06	Hs06	Min11	141578	205889	-0.1850852	-0.1850852	0.02198642	-8.41816
Min07	Hs06	Min11	140117	189507	-0.1498374	-0.1498374	0.02011314	-7.449725
Min08	Hs06	Min11	142599	200186	-0.1679974	-0.1679974	0.02052475	-8.185115
Min09	Hs06	Min11	140037	190827	-0.1535072	-0.1535072	0.02139005	-7.176569
Min10	Hs06	Min11	150121	192196	-0.1229124	-0.1229124	0.02461966	-4.992449
BosCrete01	Hs06	Min11	171100	186436	-0.04289358	-0.04289358	0.03090434	-1.387947
BosCrete02	Hs06	Min11	167897	188679	-0.05828211	-0.05828211	0.03067142	-1.900209
BosCrete03	Hs06	Min11	168440	185322	-0.04772135	-0.04772135	0.03098235	-1.540275
BosCrete04	Hs06	Min11	169623	185636	-0.04507416	-0.04507416	0.0309105	-1.458215
BosCrete05	Hs06	Min11	168384	184026	-0.0443858	-0.0443858	0.03112254	-1.426162
BosCrete06	Hs06	Min11	170720	186754	-0.04485361	-0.04485361	0.03087221	-1.45288
